TITULO;GRATUITO;FECHA;HORA;CONTENT-URL;NOMBRE-INSTALACION;CP;TIPO
'El hábito de la culpa' por Norberto Ciciaro Villalba;1;17/12/2024;12:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=05e9daa14d721910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Mario Vargas Llosa (Centro);28004;ConferenciasColoquios
'El hospital de los cuentos';1;27/11/2024;13:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=65e0f51536e92910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas);28031;CuentacuentosTiteresMarionetas
'El secreto escondido de los cuentos';1;28/11/2024;14:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=edc673de8bcf2910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Pozo del Tío Raimundo (Puente de Vallecas);28053;CuentacuentosTiteresMarionetas
'El secreto escondido de los cuentos';1;24/11/2024;15:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=79bc5f33314d2910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal San Fermín (Usera);28041;CuentacuentosTiteresMarionetas
'El secreto escondido de los cuentos';1;13/12/2024;16:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dbab365177e33910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Ciudad Lineal (Ciudad Lineal);28037;CuentacuentosTiteresMarionetas
'El silencio de las ballenas. ¿Puede una víctima ser cómplice?' de Ana Reims;1;25/11/2024;17:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ab5bdb64f5f33910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Iván de Vargas (Centro);28005;RecitalesPresentacionesActosLiterarios
'El sueño interrumpido, de Alexandra Cuquet';1;10/12/2024;18:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=100217c282033910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo);28029;RecitalesPresentacionesActosLiterarios
'En el bosque';1;27/11/2024;19:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=98a4de0e74002910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Portazgo (Puente de Vallecas);28038;CuentacuentosTiteresMarionetas
'Entre hienas' de Loreto Urraca Luque;1;21/11/2024;20:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b7e55b1e27003910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Ángel González (Latina);28024;RecitalesPresentacionesActosLiterarios
'Gilda, the giant sheep';1;20/11/2024;21:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=30b7468ed2a92910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal José Hierro (San Blas-Canillejas);28022;CuentacuentosTiteresMarionetas
'Gilda, the giant sheep';1;27/11/2024;22:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a85ab13345a92910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Francisco Ayala (Vicálvaro);28032;CuentacuentosTiteresMarionetas
'Gilda, the giant sheep';1;10/12/2024;23:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=83b894c548443910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Francisco Ibáñez (Chamartín);28002;CuentacuentosTiteresMarionetas
'Historias por contar' de Cristina Garrigós Muro;1;22/11/2024;0:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fd9a04abe62d2910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal San Fermín (Usera);28041;RecitalesPresentacionesActosLiterarios
'Homínidos no humanos' y 'Abriendo camino' de Pedro Pozas Terrados;1;18/12/2024;1:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8c81d07da2342910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo);28029;RecitalesPresentacionesActosLiterarios
'La casa que duerme';1;21/11/2024;2:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3a1c5f33314d2910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas);28031;CuentacuentosTiteresMarionetas
'La mujer maravillosa: grabación de podcast en directo'. Invitada Mapi Hermida (La Gastrónoma);1;20/11/2024;3:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=243f09e0dbb03910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Iván de Vargas (Centro);28005;CineActividadesAudiovisuales
'La pequeña yak y el elefante curioso';1;12/12/2024;4:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=53d416164a4b2910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán);28039;CuentacuentosTiteresMarionetas
'La pequeña yak y el elefante curioso';1;11/12/2024;5:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb4416164a4b2910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal San Blas (San Blas-Canillejas);28037;CuentacuentosTiteresMarionetas
'La pirámide del fin del mundo y otros territorios improbables' de Pedro Torrijos;1;26/11/2024;6:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d3e6f43764523910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Iván de Vargas (Centro);28005;RecitalesPresentacionesActosLiterarios
'La rabiosa actualidad del mito'. Conferencia;1;28/11/2024;7:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7822dbbe991c1910VgnVCM1000001d4a900aRCRD;Museo de San Isidro. Los Orígenes de Madrid;28005;ConferenciasColoquios
'Little blue';1;11/12/2024;8:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=476994c548443910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Dámaso Alonso (Chamartín);28036;CuentacuentosTiteresMarionetas
'Los Casares y el simbolismo Paleolítico del centro de España'. Conferencia;1;04/12/2024;9:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cff903a808d4f810VgnVCM2000001f4a900aRCRD;Museo de San Isidro. Los Orígenes de Madrid;28005;ConferenciasColoquios
'Los mejores discos de nuestra vida' de Luis Picabia y Paco Ochoa;1;20/11/2024;10:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=701f23cc35103910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Iván de Vargas (Centro);28005;RecitalesPresentacionesActosLiterarios
'Los tres bandidos';1;11/12/2024;11:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0517dd86c0f92910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas);28031;CuentacuentosTiteresMarionetas
'Menudo mundo menudo';1;04/12/2024;12:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=67119127a3443910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal José Hierro (San Blas-Canillejas);28022;CuentacuentosTiteresMarionetas
'Mitos egipcios para gente curiosa' de La Nieta del Dulceiro;1;29/11/2024;13:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a1935b1e27003910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Francisco Ibáñez (Chamartín);28002;RecitalesPresentacionesActosLiterarios
'Nada que perder' de Carlos Huerga;1;21/11/2024;14:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=00b1c68c81a82910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Iván de Vargas (Centro);28005;RecitalesPresentacionesActosLiterarios
'No me cuentes cuentos' de Sandra Sabatés y Judit Crehuet;1;22/11/2024;15:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9287767312b13910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Iván de Vargas (Centro);28005;ConferenciasColoquios
'No todo lo que vuela es pájaro' de Javier Rodríguez;1;25/11/2024;16:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6bab3e4e37fa2910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Iván de Vargas (Centro);28005;RecitalesPresentacionesActosLiterarios
'Owl Babies';1;26/11/2024;17:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c61ab13345a92910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Francisco Ibáñez (Chamartín);28002;CuentacuentosTiteresMarionetas
